1,"","fluorine","",1681.,"kilojoules per mole"
2,"","nitrogen","",1402.,"kilojoules per mole"
3,"","oxygen","",1314.,"kilojoules per mole"
4,"","hydrogen","",1312.,"kilojoules per mole"
5,"","chlorine","",1251.,"kilojoules per mole"
6,"","bromine","",1140.,"kilojoules per mole"
7,"","carbon","",1087.,"kilojoules per mole"
8,"","phosphorus","",1012.,"kilojoules per mole"
9,"","iodine","",1008.,"kilojoules per mole"
10,"","sulfur","",999.6,"kilojoules per mole"
11,"","silicon","",786.5,"kilojoules per mole"
